model_short,knowability,DIRECT_ANSWER,HEDGED_ATTEMPT,LOOPHOLE_DODGE,REFUSAL,total,DIRECT_ANSWER_pct,HEDGED_ATTEMPT_pct,LOOPHOLE_DODGE_pct,REFUSAL_pct
claude-3.5-haiku,knowable,59,0,1,0,60,0.9833333333333333,0.0,0.016666666666666666,0.0
claude-3.5-haiku,unknowable,59,0,1,0,60,0.9833333333333333,0.0,0.016666666666666666,0.0
deepseek-r1-70b,knowable,59,0,1,0,60,0.9833333333333333,0.0,0.016666666666666666,0.0
deepseek-r1-70b,unknowable,59,0,1,0,60,0.9833333333333333,0.0,0.016666666666666666,0.0
gpt-4o-mini,knowable,60,0,0,0,60,1.0,0.0,0.0,0.0
gpt-4o-mini,unknowable,57,2,1,0,60,0.95,0.03333333333333333,0.016666666666666666,0.0
llama-3.1-70b,knowable,60,0,0,0,60,1.0,0.0,0.0,0.0
llama-3.1-70b,unknowable,58,0,2,0,60,0.9666666666666667,0.0,0.03333333333333333,0.0
llama-3.1-8b,knowable,59,0,1,0,60,0.9833333333333333,0.0,0.016666666666666666,0.0
llama-3.1-8b,unknowable,55,0,3,2,60,0.9166666666666666,0.0,0.05,0.03333333333333333
